	#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession	Proteins/Genes
18756	Diabrotica virgifera virgifera	50390	PRJNA432972	432972	Animals	Insects	2418.07	36.7	GCA_003013835.2		PXJM02	87712	417.0	463.0	2018/03/20	2022/04/08	Scaffold	University of Illinois at Urbana-Champaign	SAMN08631342	1.1103117505995204
18758	Aphis gossypii	80765	PRJEB47895	849093	Animals	Insects	325.72	27.4611	GCA_917880025.4	chromosome 1:OU899034.1; chromosome 2:OU899035.1; chromosome 3:OU899036.1; chromosome 4:OU899037.1	CAKJTX04	14	12305.0	15396.0	2022/06/14	2022/06/16	Chromosome	ROTHAMSTED RESEARCH	SAMEA10332731	1.2511986997155629
18837	Phoxinus phoxinus	58324	PRJNA1030283	1030283	Animals	Fishes	929.446	39.104	GCA_037504845.1	chromosome 1:CM074891.1; chromosome 2:CM074892.1; chromosome 3:CM074893.1; chromosome 4:CM074894.1; chromosome 5:CM074895.1; chromosome 6:CM074896.1; chromosome 7:CM074897.1; chromosome 8:CM074898.1; chromosome 9:CM074899.1; chromosome 10:CM074900.1; chromosome 11:CM074901.1; chromosome 12:CM074902.1; chromosome 13:CM074903.1; chromosome 14:CM074904.1; chromosome 15:CM074905.1; chromosome 16:CM074906.1; chromosome 17:CM074907.1; chromosome 18:CM074908.1; chromosome 19:CM074909.1; chromosome 20:CM074910.1; chromosome 21:CM074911.1; chromosome 22:CM074912.1; chromosome 23:CM074913.1; chromosome 24:CM074914.1; chromosome 25:CM074915.1	JAYKXH01	81	46199.0	59018.0	2024/03/25	2024/03/25	Chromosome	Leibniz Institute for the analysis of biodiversity change	SAMN37908444	1.2774735383882767
18952	Acinonyx jubatus	32536	PRJNA504297	504297	Animals	Mammals	2384.85	41.6	GCA_003709585.1		QURD01	3220	34469.0	56248.0	2018/10/22	2018/11/02	Scaffold	NCBI	SAMN09699341	1.6318431053990543
19044	Oncorhynchus keta	8018	PRJNA556729	556729	Animals	Fishes	1853.1	43.3861	GCA_012931545.1	linkage group LG1:NC_050106.1/CM022907.1; linkage group LG2:NC_050107.1/CM022908.1; linkage group LG3:NC_050108.1/CM022909.1; linkage group LG4:NC_050109.1/CM022910.1; linkage group LG5:NC_050110.1/CM022911.1; linkage group LG6:NC_050111.1/CM022912.1; linkage group LG7:NC_050112.1/CM022913.1; linkage group LG8:NC_050113.1/CM022914.1; linkage group LG9:NC_050114.1/CM022915.1; linkage group LG10:NC_050115.1/CM022916.1; linkage group LG11:NC_050116.1/CM022917.1; linkage group LG12:NC_050117.1/CM022918.1; linkage group LG13:NC_050118.1/CM022919.1; linkage group LG14:NC_050119.1/CM022920.1; linkage group LG15:NC_050120.1/CM022921.1; linkage group LG16:NC_050121.1/CM022922.1; linkage group LG17:NC_050122.1/CM022923.1; linkage group LG18:NC_050123.1/CM022924.1; linkage group LG19:NC_050124.1/CM022925.1; linkage group LG20:NC_050125.1/CM022926.1; linkage group LG21:NC_050126.1/CM022927.1; linkage group LG22:NC_050127.1/CM022928.1; linkage group LG23:NC_050128.1/CM022929.1; linkage group LG24:NC_050129.1/CM022930.1; linkage group LG25:NC_050130.1/CM022931.1; linkage group LG26:NC_050131.1/CM022932.1; linkage group LG27:NC_050132.1/CM022933.1; linkage group LG28:NC_050133.1/CM022934.1; linkage group LG29:NC_050134.1/CM022935.1; linkage group LG30:NC_050135.1/CM022936.1; linkage group LG31:NC_050136.1/CM022937.1; linkage group LG32:NC_050137.1/CM022938.1; linkage group LG33:NC_050138.1/CM022939.1; linkage group LG34:NC_050139.1/CM022940.1; linkage group LG35:NC_050140.1/CM022941.1; linkage group LG36:NC_050141.1/CM022942.1; linkage group LG37:NC_050142.1/CM022943.1	JABAHX01	28109	45630.0	67030.0	2020/04/22	2020/04/29	Chromosome	Fisheries and Oceans Canada	SAMN12367893	1.4689896997589305
19094	Oncorhynchus nerka	8023	PRJNA548514	548514	Animals	Fishes	1925.21	43.6062	GCA_006149115.2	linkage group LG1:NC_042535.1/CM016829.1; linkage group LG2:NC_042536.1/CM016840.1; linkage group LG3:NC_042537.1/CM016850.1; linkage group LG4:NC_042538.1/CM016851.1; linkage group LG5:NC_042539.1/CM016852.1; linkage group LG6:NC_042540.1/CM016853.1; linkage group LG7:NC_042541.1/CM016854.1; linkage group LG8:NC_042542.1/CM016855.1; linkage group LG9a:NC_042543.1/CM016856.1; linkage group LG10:NC_042544.1/CM016830.1; linkage group LG11:NC_042545.1/CM016831.1; linkage group LG12:NC_042546.1/CM016832.1; linkage group LG13:NC_042547.1/CM016833.1; linkage group LG14:NC_042548.1/CM016834.1; linkage group LG15:NC_042549.1/CM016835.1; linkage group LG16:NC_042550.1/CM016836.1; linkage group LG17:NC_042551.1/CM016837.1; linkage group LG18:NC_042552.1/CM016838.1; linkage group LG19:NC_042553.1/CM016839.1; linkage group LG20:NC_042554.1/CM016841.1; linkage group LG21:NC_042555.1/CM016842.1; linkage group LG22:NC_042556.1/CM016843.1; linkage group LG23:NC_042557.1/CM016844.1; linkage group LG24:NC_042558.1/CM016845.1; linkage group LG25:NC_042559.1/CM016846.1; linkage group LG26:NC_042560.1/CM016847.1; linkage group LG27:NC_042561.1/CM016848.1; linkage group LG28:NC_042562.1/CM016849.1; linkage group LG9b:NC_042563.1/CM016857.1	SZNR01	36660	45668.0	68584.0	2019/05/30	2022/05/12	Chromosome	NCBI	SAMN11519041	1.5017955680126127
19137	Ceratodon purpureus	3225	PRJNA209554	209554	Plants	Land Plants	349.464	42.4965	GCA_014871845.1	chromosome U:CM026446.1; chromosome 1:CM026434.1; chromosome 2:CM026435.1; chromosome 3:CM026436.1; chromosome 4:CM026437.1; chromosome 5:CM026438.1; chromosome 6:CM026439.1; chromosome 7:CM026440.1; chromosome 8:CM026441.1; chromosome 9:CM026442.1; chromosome 10:CM026443.1; chromosome 11:CM026444.1; chromosome 12:CM026445.1	JACMSB01	558	30425.0	39339.0	2020/10/05	2020/12/28	Chromosome	DOE Joint Genome Institute	SAMN00139469	1.2929827444535744
19161	Panicum hallii var. hallii	1504633	PRJNA251785	251785	Plants	Land Plants	487.474	46.9498	GCA_003061485.1	chromosome 1:CM009749.1; chromosome 2:CM009750.1; chromosome 3:CM009751.1; chromosome 4:CM009752.1; chromosome 5:CM009753.1; chromosome 6:CM009754.1; chromosome 7:CM009755.1; chromosome 8:CM009756.1; chromosome 9:CM009757.1	QAVV01	144	33263.0	42523.0	2018/04/23	2018/04/25	Chromosome	DOE Joint Genome Institute	SAMN05660343	1.278387397408532
19162	Mercenaria mercenaria	6596	PRJNA783326	783326	Animals	Other Animals	1777.63	35.1388	GCA_014805675.2	chromosome 0:NC_059305.1/CM025866.1; chromosome 1:NC_059306.1/CM025867.1; chromosome 2:NC_059307.1/CM025868.1; chromosome 3:NC_059308.1/CM025869.1; chromosome 4:NC_059309.1/CM025870.1; chromosome 5:NC_059310.1/CM025871.1; chromosome 6:NC_059311.1/CM025872.1; chromosome 7:NC_059312.1/CM025873.1; chromosome 8:NC_059313.1/CM025874.1; chromosome 9:NC_059314.1/CM025875.1; chromosome 10:NC_059315.1/CM025876.1; chromosome 11:NC_059316.1/CM025877.1; chromosome 12:NC_059317.1/CM025878.1; chromosome 13:NC_059318.1/CM025879.1; chromosome 14:NC_059319.1/CM025880.1; chromosome 15:NC_059320.1/CM025881.1; chromosome 16:NC_059321.1/CM025882.1; chromosome 17:NC_059322.1/CM025883.1; chromosome 18:NC_059323.1/CM025884.1	WTXZ01	1432	43923.0	60828.0	2020/09/30	2021/11/09	Chromosome	NCBI	SAMN13611631	1.3848780820982174
19164	Microplitis demolitor	69319	PRJNA251518	251518	Animals	Insects	241.19	33.1	GCA_000572035.2		AZMT02	1794	12892.0	18586.0	2014/02/14	2021/05/26	Scaffold	NCBI	SAMN02708865	1.441669252249457
19169	Lucilia cuprina	7375	PRJNA419080	419080	Animals	Insects	464.749	28.1	GCA_025217265.1		PPXR01	560	12933.0	16390.0	2022/09/15	2022/09/15	Scaffold	University of Melbourne	SAMN08042461	1.2673007036263821
19193	Gossypium mustelinum	34275	PRJNA525892	525892	Plants	Land Plants	2315.09	34.506	GCA_007990455.1	chromosome A01:CM017636.1; chromosome D01:CM017649.1; chromosome A02:CM017637.1; chromosome D02:CM017650.1; chromosome A03:CM017638.1; chromosome D03:CM017651.1; chromosome A04:CM017639.1; chromosome D04:CM017652.1; chromosome A05:CM017640.1; chromosome D05:CM017653.1; chromosome A06:CM017641.1; chromosome D06:CM017654.1; chromosome A07:CM017642.1; chromosome D07:CM017655.1; chromosome A08:CM017643.1; chromosome D08:CM017656.1; chromosome A09:CM017644.1; chromosome D09:CM017657.1; chromosome A10:CM017645.1; chromosome D10:CM017658.1; chromosome A11:CM017646.1; chromosome D11:CM017659.1; chromosome A12:CM017647.1; chromosome D12:CM017660.1; chromosome A13:CM017648.1; chromosome D13:CM017661.1	VKGF01	2146	74660.0	106487.0	2019/08/12	2019/08/27	Chromosome	HudsonAlpha Genome Sequencing Center	SAMN11110849	1.4262925261184034
19194	Gossypium tomentosum	34277	PRJNA516412	516412	Plants	Land Plants	2193.56	34.218	GCA_007990485.1	chromosome A01:CM017610.1; chromosome D01:CM017623.1; chromosome A02:CM017611.1; chromosome D02:CM017624.1; chromosome A03:CM017612.1; chromosome D03:CM017625.1; chromosome A04:CM017613.1; chromosome D04:CM017626.1; chromosome A05:CM017614.1; chromosome D05:CM017627.1; chromosome A06:CM017615.1; chromosome D06:CM017628.1; chromosome A07:CM017616.1; chromosome D07:CM017629.1; chromosome A08:CM017617.1; chromosome D08:CM017630.1; chromosome A09:CM017618.1; chromosome D09:CM017631.1; chromosome A10:CM017619.1; chromosome D10:CM017632.1; chromosome A11:CM017620.1; chromosome D11:CM017633.1; chromosome A12:CM017621.1; chromosome D12:CM017634.1; chromosome A13:CM017622.1; chromosome D13:CM017635.1	VKGE01	749	78281.0	112713.0	2019/08/12	2019/08/27	Chromosome	HudsonAlpha Genome Sequencing Center	SAMN11289623	1.439851304914347
19233	Manduca sexta	7130	PRJNA556879	556879	Animals	Insects	419.424	35.9	GCA_000262585.1		AIXA01	20869	15523.0	27130.0	2012/04/13	2021/05/21	Scaffold	NCBI	SAMN00779869	1.7477291760613283
19244	Boleophthalmus pectinirostris	150288	PRJNA384419	384419	Animals	Fishes	955.752	40.1	GCA_000788275.1		JACK01	16620	22809.0	25148.0	2014/11/25	2014/12/03	Scaffold	NCBI	SAMN03201692	1.1025472401245122
19277	Eptesicus fuscus	29078	PRJNA232522	232522	Animals	Mammals	2026.63	43.5	GCA_000308155.1		ALEH01	6789	30638.0	49822.0	2012/07/30	2013/11/01	Scaffold	NCBI	SAMN00767986	1.6261505320190612
19310	Oryza meyeriana var. granulata	110450	PRJNA527807	527807	Plants	Land Plants	736.775	44.2	GCA_005223365.2		SPHZ02	1136	39549.0	48722.0	2019/05/07	2020/01/14	Scaffold	South China Agricultural University	SAMN11160423	1.2319401249083415
19317	Dendroctonus ponderosae	77166	PRJNA638274	638274	Animals	Insects	223.663	33.5	GCA_020466635.2		JAFETF01	1669	13565.0	15975.0	2021/10/13	2022/05/12	Scaffold	Natural Resources Canada	SAMN16793775	1.1776631035753777
19329	Carya illinoinensis	32201	PRJNA680558	680558	Plants	Land Plants	656.687	36.252	GCA_018689175.1	chromosome 1:CM031841.1; chromosome 2:CM031842.1; chromosome 3:CM031843.1; chromosome 4:CM031844.1; chromosome 5:CM031845.1; chromosome 6:CM031846.1; chromosome 7:CM031847.1; chromosome 8:CM031848.1; chromosome 9:CM031849.1; chromosome 10:CM031850.1; chromosome 11:CM031851.1; chromosome 12:CM031852.1; chromosome 13:CM031853.1; chromosome 14:CM031854.1; chromosome 15:CM031855.1; chromosome 16:CM031856.1	JAEUGT01	829	31042.0	59523.0	2021/06/03	2021/07/14	Chromosome	DOE Joint Genome Institute	SAMN16882289	1.9174988724953288
19334	Trifolium pratense	57577	PRJEB57630	973358	Plants	Land Plants	445.625	34.4018	GCA_949352195.3	chromosome 1:OY750669.1; chromosome 2:OY750670.1; chromosome 3:OY750671.1; chromosome 4:OY750672.1; chromosome 5:OY750673.1; chromosome 6:OY750674.1; chromosome 7:OY750675.1; plasmid MT:OY750676.1; plasmid Pltd:OY750677.1	CASHSV03	131	41836.0	52223.0	2023/05/12	2023/10/20	Chromosome	Earlham Institute	SAMEA112366799	1.2482789941677024
19369	Rhinolophus ferrumequinum	59479	PRJNA628581	628581	Animals	Mammals	2072.56	40.2	GCA_014108255.1	mitochondrion MT:CM024386.1	JACAGC01	50	19066.0	41563.0	2020/08/07	2020/08/13	Scaffold	Bat1K	SAMN14734547	2.179953844540019
19412	Tetradesmus obliquus	3088	PRJNA887758	887758	Plants	Green Algae	100.348	56.8256	GCA_030272055.1	chromosome 1b:CP126208.1; chromosome 2b:CP126209.1; chromosome 3b:CP126210.1; chromosome 4b:CP126211.1; chromosome 5b:CP126212.1; chromosome 6b:CP126213.1; chromosome 7b:CP126214.1; chromosome 8b:CP126215.1; chromosome 9b:CP126216.1; chromosome 10b:CP126217.1; chromosome 11b:CP126218.1; chromosome 12b:CP126219.1; chromosome 13b:CP126220.1; chromosome 14b:CP126221.1; chromosome 15b:CP126222.1; chromosome 16b:CP126223.1; chromosome 17b:CP126224.1		17	14673.0	16237.0	2023/06/14	2023/06/14	Complete Genome	Los Alamos National Laboratory	SAMN06733347	1.1065903359912765
19414	Gossypium barbadense	3634	PRJNA516411	516411	Plants	Land Plants	2195.8	34.1323	GCA_008761655.1	chromosome A01:CM018202.1; chromosome D01:CM018215.1; chromosome A02:CM018203.1; chromosome D02:CM018216.1; chromosome A03:CM018204.1; chromosome D03:CM018217.1; chromosome A04:CM018205.1; chromosome D04:CM018218.1; chromosome A05:CM018206.1; chromosome D05:CM018219.1; chromosome A06:CM018207.1; chromosome D06:CM018220.1; chromosome A07:CM018208.1; chromosome D07:CM018221.1; chromosome A08:CM018209.1; chromosome D08:CM018222.1; chromosome A09:CM018210.1; chromosome D09:CM018223.1; chromosome A10:CM018211.1; chromosome D10:CM018224.1; chromosome A11:CM018212.1; chromosome D11:CM018225.1; chromosome A12:CM018213.1; chromosome D12:CM018226.1; chromosome A13:CM018214.1; chromosome D13:CM018227.1	VKDL01	4748	74561.0	108363.0	2019/08/15	2019/10/08	Chromosome	HudsonAlpha Genome Sequencing Center	SAMN10992405	1.453346923995118
19433	Castanea mollissima	60419	PRJNA46687	46687	Plants	Land Plants	725.181	35.0	GCA_000763605.2		JRKL02	14110	30820.0	34314.0	2014/10/03	2020/04/08	Scaffold	Clemson University Genomics Institute	SAMN02640765	1.1133679428942245
19441	Citrus sinensis	2711	PRJNA736176	736176	Plants	Land Plants	299.603	34.1959	GCA_022201065.1	chromosome 1:CM039170.1; chromosome 2:CM039171.1; chromosome 3:CM039172.1; chromosome 4:CM039173.1; chromosome 5:CM039174.1; chromosome 6:CM039175.1; chromosome 7:CM039176.1; chromosome 8:CM039177.1; chromosome 9:CM039178.1	JAHMIT01	9	55880.0	160240.0	2022/02/10	2022/02/11	Complete Genome	Clemson University	SAMN19611724	2.8675733715103795
19579	Amphiprion ocellaris	80972	PRJNA421964	421964	Animals	Fishes	880.721	39.5	GCA_002776465.1		NXFZ01	6405	29004.0	48450.0	2017/11/16	2017/11/16	Scaffold	NCBI	SAMN07982614	1.6704592470004138
19621	Scomber scombrus	13677	PRJEB70239	1079169	Animals	Fishes	741.291	39.8	GCA_963921475.1		CAWUFR01	4482	26428.0	35852.0	2024/02/23	2024/02/27	Contig	Centro Nacional de Análisis Genómico	SAMEA114622015	1.3565914938701378
19662	Hymenolepis diminuta	6216	PRJEB30942	523161	Animals	Flatworms	177.074	33.4	GCA_902177915.1		CABIJS01	719	15169.0	19306.0	2019/07/30	2019/07/30	Scaffold	UNIVERSITY OF WARMIA AND MAZURY	SAMEA5245231	1.2727272727272727
19753	Cricetulus griseus	10029	PRJNA189319	189319	Animals	Mammals	2332.77	42.0	GCA_000448345.1		APMK01	28749	21779.0	29144.0	2013/08/08	2014/08/11	Scaffold	CeBiTec, Bielefeld University	SAMN02981520	1.3381697965930484
19759	Linepithema humile	83485	PRJNA45799	45799	Animals	Insects	219.501	37.9	GCA_000217595.1		ADOQ01	3030	13084.0	21674.0	2011/06/07	2014/05/08	Scaffold	The Ant Genomics Consortium	SAMN02767796	1.6565270559461938
19761	Lepeophtheirus salmonis	72036	PRJEB37485	966850	Animals	Other Animals	623.55	30.876	GCA_902860245.1	chromosome 1:LR794184.1; chromosome 2:LR794185.1; chromosome 3:LR794186.1; chromosome 4:LR794187.1; chromosome 5:LR794188.1; chromosome 6:LR794189.1; chromosome 7:LR794190.1; chromosome 8:LR794191.1; chromosome 9:LR794192.1; chromosome 10:LR794193.1; chromosome 11:LR794194.1; chromosome 12:LR794195.1; chromosome 13:LR794196.1; chromosome 14:LR794197.1; chromosome 15:LR794198.1; mitochondrion mitochondrion:LR794199.1	CADILO04	155	15081.0	16972.0	2021/02/04	2021/09/23	Chromosome	Institute of Aquaculture, University of Stirling, Stirling, UK	SAMEA6635856	1.1253895630263244
19775	Nothobranchius furzeri	105023	PRJNA599375	599375	Animals	Fishes	1052.35	42.4495	GCA_014300015.1	chromosome 1:CM025008.1; chromosome 2:CM025009.1; chromosome 3:CM025010.1; chromosome 4:CM025011.1; chromosome 5:CM025012.1; chromosome 6:CM025013.1; chromosome 7:CM025014.1; chromosome 8:CM025015.1; chromosome 9:CM025016.1; chromosome 10:CM025017.1; chromosome 11:CM025018.1; chromosome 12:CM025019.1; chromosome 13:CM025020.1; chromosome 14:CM025021.1; chromosome 15:CM025022.1; chromosome 16:CM025023.1; chromosome 17:CM025024.1; chromosome 18:CM025025.1; chromosome 19:CM025026.1	JAAVVJ01	40229	20242.0	33124.0	2020/08/26	2020/08/27	Chromosome	Max Planck Institute for Biology of Ageing	SAMN13746779	1.6363995652603498
19779	Scophthalmus maximus	52904	PRJEB11743	308694	Animals	Fishes	524.979	43.431	GCA_003186165.1	chromosome 1:CP026243.1; chromosome 2:CP026244.1; chromosome 3:CP026245.1; chromosome 4:CP026246.1; chromosome 5:CP026247.1; chromosome 6:CP026248.1; chromosome 7:CP026249.1; chromosome 8:CP026250.1; chromosome 9:CP026251.1; chromosome 10:CP026252.1; chromosome 11:CP026253.1; chromosome 12:CP026254.1; chromosome 13:CP026255.1; chromosome 14:CP026256.1; chromosome 15:CP026257.1; chromosome 16:CP026258.1; chromosome 17:CP026259.1; chromosome 18:CP026260.1; chromosome 19:CP026261.1; chromosome 20:CP026262.1; chromosome 21:CP026263.1; chromosome 22:CP026264.1		22	21194.0	26458.0	2018/06/05	2018/06/05	Chromosome	Centro Nacional de Análisis Genómico	SAMN08049846	1.2483721808058885
19827	Trichophyton rubrum CBS 289.86	1215329	PRJNA186830	186830	Fungi	Ascomycetes	23.0518	47.2	GCA_000616845.1		AOKV01	521	8961.0	10598.0	2014/04/02	2014/04/08	Scaffold	Broad Institute	SAMN01091662	1.1826805044079902
19856	Bemisia tabaci	7038	PRJEB47898	849096	Animals	Insects	609.95	39.6972	GCA_918797505.1	chromosome 1:OU963862.1; chromosome 2:OU963863.1; chromosome 3:OU963864.1; chromosome 4:OU963865.1; chromosome 5:OU963866.1; chromosome 6:OU963867.1; chromosome 7:OU963868.1; chromosome 8:OU963869.1; chromosome 9:OU963870.1; chromosome 10:OU963871.1	CAKKNF02	150	14353.0	16596.0	2022/06/14	2022/06/16	Chromosome	ROTHAMSTED RESEARCH	SAMEA10332733	1.1562739496969274
19943	Drosophila mojavensis	7230	PRJNA12682	12682	Animals	Insects	193.826	36.7	GCA_000005175.1		AAPU01	6841	14639.0	20110.0	2006/04/11	2015/11/03	Scaffold	Agencourt Bioscience Corporation	SAMN02953651	1.3737277136416421
19959	Schistosoma japonicum	6182	PRJNA739049	739049	Animals	Flatworms	408.533	34.089	GCA_021461655.1	chromosome 1:CM038282.1; chromosome 2:CM038283.1; chromosome 3:CM038284.1; chromosome 4:CM038285.1; chromosome 5:CM038286.1; chromosome 6:CM038287.1; chromosome 7:CM038288.1; chromosome Z:CM038289.1	JAHRBV01	337	9768.0	29915.0	2022/01/13	2022/01/13	Chromosome	Fudan University	SAMN19770425	3.0625511875511875
19964	Cavia porcellus	10141	PRJNA12583	12583	Animals	Mammals	2723.22	40.1	GCA_000151735.1		AAKN02	3144	31547.0	37349.0	2005/11/04	2014/08/11	Scaffold	The Genome Sequencing Platform, The Genome Assembly Team	SAMN02981223	1.1839160617491362
20010	Populus trichocarpa	3694	PRJNA332131	332131	Plants	Land Plants	392.256	33.7483	GCA_024362645.1	chromosome 1:CM044412.1; chromosome 2:CM044413.1; chromosome 3:CM044414.1; chromosome 4:CM044415.1; chromosome 5:CM044416.1; chromosome 6:CM044417.1; chromosome 7:CM044418.1; chromosome 8:CM044419.1; chromosome 9:CM044420.1; chromosome 10:CM044421.1; chromosome 11:CM044422.1; chromosome 12:CM044423.1; chromosome 13:CM044424.1; chromosome 14:CM044425.1; chromosome 15:CM044426.1; chromosome 16:CM044427.1; chromosome 17:CM044428.1; chromosome 18:CM044429.1; chromosome 19:CM044430.1	JANBXB01	128	34700.0	52014.0	2022/07/19	2022/07/21	Chromosome	DOE Joint Genome Institute	SAMN11890658	1.4989625360230547
20027	Coprinopsis cinerea AmutBmut pab1-1	1132390	PRJNA573619	573619	Fungi	Basidiomycetes	38.6981	51.6	GCA_016772295.1		JAAGWA01	31	15250.0	16862.0	2021/01/25	2022/03/10	Contig	the Chinese University of Hong Kong	SAMN12818551	1.105704918032787
20040	Homo sapiens	9606	PRJNA807723	807723	Animals	Mammals	3117.28	40.7378	GCA_009914755.4	chromosome 1:NC_060925.1/CP068277.2; chromosome 2:NC_060926.1/CP068276.2; chromosome 3:NC_060927.1/CP068275.2; chromosome 4:NC_060928.1/CP068274.2; chromosome 5:NC_060929.1/CP068273.2; chromosome 6:NC_060930.1/CP068272.2; chromosome 7:NC_060931.1/CP068271.2; chromosome 8:NC_060932.1/CP068270.2; chromosome 9:NC_060933.1/CP068269.2; chromosome 10:NC_060934.1/CP068268.2; chromosome 11:NC_060935.1/CP068267.2; chromosome 12:NC_060936.1/CP068266.2; chromosome 13:NC_060937.1/CP068265.2; chromosome 14:NC_060938.1/CP068264.2; chromosome 15:NC_060939.1/CP068263.2; chromosome 16:NC_060940.1/CP068262.2; chromosome 17:NC_060941.1/CP068261.2; chromosome 18:NC_060942.1/CP068260.2; chromosome 19:NC_060943.1/CP068259.2; chromosome 20:NC_060944.1/CP068258.2; chromosome 21:NC_060945.1/CP068257.2; chromosome 22:NC_060946.1/CP068256.2; chromosome X:NC_060947.1/CP068255.2; chromosome Y:NC_060948.1/CP086569.2; mitochondrion MT:CP068254.1		24	57816.0	65005.0	2021/01/15	2022/04/06	Complete Genome	NCBI	SAMN03255769	1.1243427424934274
20049	Caenorhabditis briggsae	6238	PRJNA784955	784955	Animals	Roundworms	106.953	37.3375	GCA_022453885.1	chromosome I:CP092620.1; chromosome II:CP092621.1; chromosome III:CP092622.1; chromosome IV:CP092623.1; chromosome V:CP092624.1; chromosome X:CP092625.1; mitochondrion MT:CP092626.1		7	19749.0	29546.0	2022/03/03	2022/05/13	Chromosome	NORTHWESTERN UNIVERSITY	SAMN25287700	1.4960757506709201
20071	Triticum aestivum	4565	PRJNA1062539	1062539	Plants	Land Plants	14509.2	46.157	GCA_040256815.2	 1A:CP155614.1;  1B:CP155613.1;  1D:CP155612.1;  2A:CP155611.1;  2B:CP155610.1;  2D:CP155609.1;  3A:CP155608.1;  3B:CP155607.1;  3D:CP155606.1;  4A:CP155605.1;  4B:CP155604.1;  4D:CP155603.1;  5A:CP155602.1;  5B:CP155601.1;  5D:CP155600.1;  6A:CP155599.1;  6B:CP155594.1;  6D:CP155598.1;  7A:CP155597.1;  7B:CP155596.1;  7D:CP155595.1		21	141031.0	174939.0	2024/06/20	2024/06/20	Complete Genome	Peking University Institute of Advanced Agricultural Sciences	SAMN40044627	1.2404294091369983
20106	Caenorhabditis briggsae	6238	PRJNA784955	784955	Animals	Roundworms	106.196	37.3499	GCA_021491975.1	chromosome I:CP090891.1; chromosome II:CP090892.1; chromosome III:CP090893.1; chromosome IV:CP090894.1; chromosome V:CP090895.1; chromosome X:CP090896.1; mitochondrion MT:CP090897.1		7	19958.0	29684.0	2022/01/17	2022/05/06	Chromosome	NORTHWESTERN UNIVERSITY	SAMN23520879	1.4873233790961018
20170	Monodelphis domestica	13616	PRJNA12561	12561	Animals	Mammals	3598.44	38.1446	GCA_000002295.1	chromosome 1:NC_008801.1/CM000368.1; chromosome 2:NC_008802.1/CM000369.1; chromosome 3:NC_008803.1/CM000370.1; chromosome 4:NC_008804.1/CM000371.1; chromosome 5:NC_008805.1/CM000372.1; chromosome 6:NC_008806.1/CM000373.1; chromosome 7:NC_008807.1/CM000374.1; chromosome 8:NC_008808.1/CM000375.1; chromosome X:NC_008809.1/CM000376.1	AAFR03	5223	37326.0	49099.0	2004/11/08	2014/08/06	Chromosome	The Genome Sequencing Platform, The Genome Assembly Team	SAMN02953611	1.3154101698547929
20181	Schistosoma japonicum	6182	PRJNA520774	520774	Animals	Flatworms	369.901	33.8	GCA_006368765.1		SKCS01	1789	11416.0	16936.0	2019/06/14	2019/06/14	Scaffold	Fudan University	SAMN10867452	1.483531885073581
20191	Drosophila erecta	7220	PRJNA12661	12661	Animals	Insects	152.712	40.2	GCA_000005135.1		AAPQ01	5124	14741.0	19592.0	2006/04/11	2015/11/02	Scaffold	Agencourt Bioscience Corporation	SAMN02953649	1.3290821518214504
20194	Blastomyces dermatitidis ATCC 26199	447095	PRJNA39263	39263	Fungi	Ascomycetes	71.5153	37.1	GCA_000166155.1		AEII01	3282	9537.0	11211.0	2010/11/05	2014/08/11	Scaffold	Broad Institute	SAMN02981284	1.1755268952500786
20294	Trichophyton rubrum CBS 100081	1215328	PRJNA186828	186828	Fungi	Ascomycetes	23.0618	47.2	GCA_000616805.1		AOKT01	550	8985.0	10637.0	2014/04/02	2014/04/08	Scaffold	Broad Institute	SAMN01091661	1.1838619922092377
20347	Lepeophtheirus salmonis	72036	PRJEB43242	707196	Animals	Other Animals	632.198	30.8628	GCA_905330665.1	chromosome 1:HG994580.1; chromosome 2:HG994581.1; chromosome 3:HG994582.1; chromosome 4:HG994583.1; chromosome 5:HG994584.1; chromosome 6:HG994585.1; chromosome 7:HG994586.1; chromosome 8:HG994587.1; chromosome 9:HG994588.1; chromosome 10:HG994589.1; chromosome 11:HG994590.1; chromosome 12:HG994591.1; chromosome 13:HG994592.1; chromosome 14:HG994593.1; chromosome 15:HG994594.1; mitochondrion mitochondrion:HG994595.1	CAJNVT01	297	15203.0	17093.0	2021/03/10	2021/03/10	Chromosome	Institute of Aquaculture, University of Stirling, Stirling, UK	SAMEA6635856	1.1243175689008749
20579	Bicyclus anynana	110368	PRJEB8426	280821	Animals	Insects	475.4	36.6	GCA_900239965.1		OENV01	10800	15845.0	21603.0	2017/12/01	2017/12/10	Scaffold	Nematode and Neglected Genomics, IEB, University of Edinburgh	SAMEA3639938	1.3633953928684128
